gene_id,gene_name,A5BKO_1,A5BKO_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000163755.9,HPS3,772.999,816,930,952,980,1102.2621411211908,-0.25696174293024804,0.07661691803585138,2.859142440221942e-4,0.0010426414327685582,NS
ENSG00000100097.12,LGALS1,1527,1506.001,1233,1273.999,1171,1584.614201223844,0.25883320616952205,0.07729589666899325,2.8748038897480533e-4,0.001048009522753652,NS
ENSG00000141504.12,SAT2,25,23,55,39,55.001,100.3312881326245,-0.7649816361940673,0.3285735986552214,2.8881946116127144e-4,0.0010525465768825525,Down
ENSG00000125945.16,ZNF436,240,221,294,298.001,348,341.43448702528696,-0.38995213231997583,0.12694121640104306,2.8907487154915924e-4,0.0010531327590588768,Down
ENSG00000141696.13,P3H4,47,36,86.001,84,63,97.69559021562523,-0.6812436299688117,0.2766467231369957,2.900628744165581e-4,0.0010563866031318534,Down
ENSG00000105948.13,IFT56,305,284,190,196.999,228,243.75638880032795,0.4159722187016691,0.1381008385094084,2.920815983099903e-4,0.0010633908991102851,Up
ENSG00000152409.9,JMY,637,572,737,677,853,966.7860379686318,-0.3029806937317091,0.09313268018643399,2.927266219018685e-4,0.0010653909765101664,Down
ENSG00000169032.11,MAP2K1,1234.001,1134.999,1368.001,1355.001,1395,1587.1623152624438,-0.21735523927576456,0.06355494774578263,2.964406722277887e-4,0.0010785559511927092,NS
ENSG00000028528.15,SNX1,2033.001,1990.001,1628.001,1682.999,1782,1863.6635365413983,0.20910883784628137,0.060885604622877745,2.968935169702637e-4,0.0010798507833108513,NS
ENSG00000106330.12,MOSPD3,133.001,147,208,241,177,237.79120751785283,-0.4775172410029404,0.16632864365005187,2.9719200342516445e-4,0.0010805835266555848,Down
ENSG00000125454.12,SLC25A19,630,588.999,449.999,459,477.001,394.3984246630694,0.3292246051487638,0.10310162950213976,2.977607965491642e-4,0.0010822982999895698,Up
ENSG00000119280.17,C1orf198,531,518,661,625,672,632.7503743051936,-0.29773016661821716,0.09135873745851245,2.9814858990527955e-4,0.0010833542726835558,Down
ENSG00000175073.8,VCPIP1,685,652,793,793,871,741.6898643279374,-0.2804913381737719,0.08515100558253089,2.986572770470158e-4,0.0010848486935657582,Down
ENSG00000123338.13,NCKAP1L,3113.999,2908.001,3214.999,3414,3470.001,3888.4145692342927,-0.17294633056070768,0.04951794759384764,2.988151014115375e-4,0.0010850680744767828,NS
ENSG00000154930.15,ACSS1,1476.999,1458,1746,1659,1709,1725.507281200533,-0.21929376428137845,0.06423396947204729,2.9906723181371447e-4,0.0010856296482103448,NS
ENSG00000137054.16,POLR1E,971,1000.999,745,827,777.001,879.6893254169087,0.27987367100872934,0.08497582081824318,3.005107511875799e-4,0.0010905142508882625,Up
ENSG00000141219.16,C17orf80,1013,913,767,768.999,796,886.4061706141769,0.25966174311154727,0.07790570207706851,3.022065028835473e-4,0.0010963106914052333,NS
ENSG00000130717.13,UCK1,619,548,729.001,756.001,681,736.1903168095764,-0.29334888610464815,0.08988602251690127,3.0284662463321023e-4,0.0010982751086095937,Down
ENSG00000176390.12,CRLF3,631.999,631,508,442,514,600.4254048167071,0.3094266732077083,0.09581903331118817,3.0362648363665827e-4,0.0011007448399288618,Up
ENSG00000123104.12,ITPR2,1271,1104,1300,1386,1734,1270.670218026804,-0.2943967484192602,0.09030663785495485,3.043633321237087e-4,0.0011030570874916185,Down
ENSG00000104472.10,CHRAC1,1728,1600,1359,1456,1307,1404.3459194047323,0.23318369031421252,0.06892907095978162,3.044728166647239e-4,0.0011030949119046941,NS
ENSG00000138668.20,HNRNPD,19561.001,18416,20338.001,20350.999,20772,17966.350046913274,-0.12707083964413948,0.03583249887768874,3.0563512440868806e-4,0.0011069458148096126,NS
ENSG00000120438.12,TCP1,12482.001,12007.999,13514.999,13451,13445,11107.331962087836,-0.15220948443660373,0.04329309608225311,3.0590623492270737e-4,0.001107567535219178,NS
ENSG00000101407.13,TTI1,1684.999,1648.999,1366,1415.001,1401.001,1353.8906310166315,0.2196192857776257,0.0644637082822743,3.0627215199463385e-4,0.001108531997648436,NS
ENSG00000137221.14,TJAP1,656.999,552,716.001,714,810.001,810.9803487716632,-0.2908067286962676,0.08908882429860435,3.077921717591013e-4,0.001113671675399971,Down
ENSG00000103415.12,HMOX2,1152.998,1118,893,940.999,863,911.8193467051278,0.28186625243835006,0.08587541309864238,3.0827206376968415e-4,0.0011150457857106114,Up
ENSG00000168701.19,TMEM208,623,603,488,462,437,505.4356913223066,0.3339333353269165,0.10528165014905344,3.0966294045009377e-4,0.0011197130414911344,Up
ENSG00000112592.15,TBP,663,629.999,806.965,741,835.999,693.9174297649571,-0.2841918053647766,0.08674960106563975,3.0988074475825556e-4,0.0011197734764350072,Down
ENSG00000124562.10,SNRPC,2984.001,2789.001,3231.999,3336.988,3213.999,2914.8838287292983,-0.18644182915613405,0.05385997816780403,3.098801796428765e-4,0.0011197734764350072,NS
ENSG00000113272.14,THG1L,556,552,417,434,442,608.858509124252,0.301786875771448,0.09319934151726812,3.1135250453533965e-4,0.0011247268384722926,Up
ENSG00000243147.8,MRPL33,666.001,608,494,518.489,442,525.8166515347607,0.32362796454731413,0.10145483062473445,3.1375125172877137e-4,0.0011330245429647622,Up
ENSG00000071655.18,MBD3,3710.615,3507.425,3122.433,3026.531,2930.727,2741.603962554597,0.21505066333445255,0.06315030740760952,3.1752487394692624e-4,0.0011462802337591305,NS
ENSG00000161618.10,ALDH16A1,1053,918,764,738.913,823,766.4716986709735,0.2879325223171745,0.0883021577002373,3.181691291308422e-4,0.0011482338273266978,Up
ENSG00000119139.21,TJP2,377.519,393.414,465.03,499.355,577.351,453.30504063039086,-0.3672076135437364,0.11885660428368108,3.212434449419085e-4,0.0011589531086226223,Down
ENSG00000169188.5,APEX2,876,757,637,620,648,679.7388829002415,0.30002779601846463,0.09282485084344255,3.219243191338653e-4,0.0011610334009695136,Up
ENSG00000150630.4,VEGFC,25,25,50,55,67.078,44.23832689843093,-0.8448031878165796,0.3877304535599793,3.224614812501199e-4,0.0011625942106450583,Down
ENSG00000196290.17,NIF3L1,923.999,929,686.001,795,700,764.1898086851207,0.29214467566851393,0.08999001633671926,3.2447105513755154e-4,0.0011694608870766704,Up
ENSG00000144711.17,IQSEC1,22,23,52,37,65,63.02034587942917,-0.8391578055089799,0.38477618384486795,3.2662099271676395e-4,0.0011768288566439988,Down
ENSG00000134324.12,LPIN1,293,289,368.999,379.999,421,343.64216023416185,-0.3740652820594452,0.12186496459130641,3.267404728882393e-4,0.0011768786049664685,Down
ENSG00000175711.9,B3GNTL1,173.999,133,86,84.999,104,114.8001757747107,0.5519308850631253,0.20649041044350408,3.2990556925061265e-4,0.0011875107707640831,Up
ENSG00000265590.10,CFAP298-TCP10L,296.367,231.688,132.202,196.304,174.447,195.60921386477187,0.4990697982641872,0.17893681612915,3.298320712754838e-4,0.0011875107707640831,Up
ENSG00000142230.13,SAE1,3267.999,2888,2628.998,2611.001,2706.999,2871.47568933455,0.1829924784396291,0.05304015540416332,3.3011402852384556e-4,0.001187877200539602,NS
ENSG00000108107.15,RPL28,15238,14452,17346,17421.998,15836.999,18617.36088309486,-0.19387110143301256,0.05649812404554402,3.3089761070368096e-4,0.001190312238503519,NS
ENSG00000035862.13,TIMP2,16,5,34,31,35,29.91747810411848,-1.1143053744243778,0.5809472042623766,3.317293138442935e-4,0.0011929187498494985,Down
ENSG00000119231.11,SENP5,1459,1371,1155,1183.001,1194,1229.4130405609562,0.22480935151132794,0.066619210290812,3.3253031643857775e-4,0.0011954132130976244,NS
ENSG00000153201.17,RANBP2,5658.198,5171.119,4054.672,4209.517,5053.408,4297.435013613607,0.24296882671001283,0.07277290322054226,0.00033348836061023043,0.0011984704330803924,NS
ENSG00000100888.15,CHD8,2641.999,2423.999,2017.246,2039.001,2322.999,2334.819468586099,0.21467585557272711,0.06333675765742866,3.3734154912120484e-4,0.0012119267201815673,NS
ENSG00000137309.21,HMGA1,23042.974,21790.964,24904.953,25126.968,23917.956,24257.608170183325,-0.15231132472900868,0.04367735398267214,3.402858722320063e-4,0.0012217162343803529,NS
ENSG00000150995.21,ITPR1,488,422,561,540,627,621.4520140000532,-0.31645661060810026,0.09946630936974075,3.4022937671795614e-4,0.0012217162343803529,Down
ENSG00000103202.13,NME4,2852.042,2662.704,3369.715,3257.001,2970.698,2604.6199860133747,-0.21928051254598777,0.06496913969572105,3.444842851926666e-4,0.0012363910680601767,NS
ENSG00000136560.14,TANK,583.001,577,452.001,459.001,432,524.7182047002672,0.3092320328879887,0.096947098887626093,3.4874962710960164e-4,0.001251296584123593,Up
ENSG00000130703.17,OSBPL2,611,638.999,739,755,793.825,894.8505459800813,-0.27442000282402335,0.08411933706192865,3.4918200112612547e-4,0.0012524444272275874,Down
ENSG00000110031.13,LPXN,1223,1192,975.001,1015,1018,1257.588399413645,0.22758988467339078,0.06783583668526864,3.500959472085747e-4,0.0012553182756155493,NS
ENSG00000162496.9,DHRS3,8,9,27,24,21,103.53137305992972,-1.0112267649366604,0.5115902677013208,3.502348695269954e-4,0.0012554122117547947,Down
ENSG00000043355.12,ZIC2,483,407.098,328,330,338.293,420.8161692024497,0.3432138936852878,0.11017338144562883,3.507833392798408e-4,0.0012569736324194295,Up
ENSG00000109320.14,NFKB1,2414.999,2336.999,2001,2014,2093.999,2228.326300474372,0.18966856716063443,0.0554549094312503,3.5386636943203655e-4,0.0012676133021436446,NS
