gene_id,gene_name,Mix_1,Mix_2,Mix_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000182054.10,IDH2,2916,2553,2686,2066.001,2071.001,1965,1805.6296468703754,0.21663826849243087,0.0600482891588355,2.4991667716842315e-4,5.123935997100016e-4,NS
ENSG00000185808.14,PIGP,521.001,408,443,313,312,292.999,359.96405185140554,0.35646878840592755,0.10143327561357536,2.5007843459527344e-4,5.126308717260373e-4,Up
ENSG00000104859.15,CLASRP,1326.001,1081.001,1158,803.001,775,951.001,970.614726612839,0.2855962058471689,0.08013812730805756,2.522571693701416e-4,5.17001857798172e-4,Up
ENSG00000111644.8,ACRBP,70,50,48,20,13,26,29.588748732398795,0.975415610029627,0.3648904892453328,2.526188660025934e-4,5.176478952476325e-4,Up
ENSG00000176371.14,ZSCAN2,513.001,396,478,278,302.001,329.001,324.3733780137104,0.38437365059564205,0.11017577598798932,2.5331477985843253e-4,5.189784222375575e-4,Up
ENSG00000169756.17,LIMS1,2115.905,1641.344,1679.094,1270.316,1396.082,1394.909,1613.3793649322465,0.21285087401823316,0.05903130726454932,2.5375539718144543e-4,5.197855174562733e-4,NS
ENSG00000100811.15,YY1,6386.999,4974,5352.001,5260,5291,5548,5611.002494028844,-0.14575840455267286,0.0401089217529751,2.53970197856054e-4,5.201298443403592e-4,NS
ENSG00000129317.15,PUS7L,1043.001,727,717.001,823.001,872,945,982.357909538974,-0.28298200115753935,0.079416418338648,2.5446177642327684e-4,5.210407802952811e-4,Down
ENSG00000109118.14,PHF12,2081.001,1561.999,1616.998,1223.001,1282.999,1370.001,1403.3468453682938,0.23007943082025353,0.06399567311538246,2.5501538950676184e-4,5.220783810545601e-4,NS
ENSG00000164051.14,CCDC51,255.353,272.544,276.926,319.49,316.311,323.171,337.90376551683636,-0.40873610494390117,0.11790825433690526,2.553568404262538e-4,5.226813328114664e-4,Down
ENSG00000171055.15,FEZ2,687,508,522,377,394.999,397,468.1952786293714,0.3318532795972513,0.09407962804778795,2.5555217608212597e-4,5.229850395124287e-4,Up
ENSG00000196967.11,ZNF585A,367.878,267.376,298.877,172.942,208.948,194.946,218.08082767515654,0.44988502863304497,0.13112601013284564,2.5574437707361297e-4,5.232822207365107e-4,Up
ENSG00000100276.10,RASL10A,103,75,91,116,142,121,105.92559721764967,-0.6033181748181377,0.18427083450643816,2.5596744225442173e-4,5.236424328412004e-4,Down
ENSG00000197472.15,ZNF695,171.277,130.653,130.47,68.705,83.886,76.625,93.79768746831718,0.6090789636353219,0.18656583206179633,2.580175322482518e-4,5.277394410741562e-4,Up
