gene_id	gene_name	NC_1	NC_2	NC_3	NC_4	pi5_1	pi5_2	pi5_3	pi5_4
CDH12	CDH12	0	0	0	0	0	0	0.018596	0
CDH13	CDH13	0.247384	0.192153	0.226709	0.238286	0.255587	0.231786	0.245904	0.257227
CDH15	CDH15	0	0.014242	0.027546	0.016358	0	0.01584	0	0
CDH16	CDH16	14.98707	16.213937	18.235976	16.750123	16.099836	17.825297	16.689054	15.648935
CDH17	CDH17	409.397245	396.974919	402.599691	405.292793	408.766328	435.809918	443.840914	426.428625
CDH18	CDH18	0	0	0	0	0	0	0	0
CDH19	CDH19	0	0	0	0	0	0	0	0
CDH2	CDH2	114.180402	116.314686	110.690957	108.499125	113.493437	121.728589	117.792031	126.476188
CDH20	CDH20	1.177591	1.122882	0.990021	1.014152	1.318664	1.201269	1.295596	1.097636
CDH22	CDH22	0.010982	0.030209	0	0.017337	0.047521	0.018701	0.019685	0
CDH23	CDH23	1.974373	2.155089	2.684797	2.117281	1.960695	2.3733	2.235256	2.163085
CDH24	CDH24	0.464343	0.518546	0.402195	0.452418	0.432698	0.425196	0.51346	0.227749
CDH26	CDH26	0	0.058275	0.037473	0.044439	0.020329	0.048141	0	0.070745
CDH3	CDH3	20.476376	21.790468	20.981221	20.350769	19.245256	20.739515	19.564299	20.70489
CDH4	CDH4	1.221284	1.240605	0.993759	1.156919	1.156376	1.187081	1.175919	1.382836
CDH5	CDH5	0	0.022119	0.028616	0	0.023283	0.018231	0.00965	0.009
CDH6	CDH6	353.407651	357.083089	357.530305	359.305879	361.097969	375.258867	367.632223	384.345851
CDH7	CDH7	0	0	0	0	0	0	0	0
CDH8	CDH8	0	0	0	0	0.02077	0	0	0
CDH9	CDH9	0	0	0	0	0	0	0	0
CDHR1	CDHR1	0	0	0	0	0.018121	0.01065	0	0
CDHR2	CDHR2	166.509472	183.611849	188.584224	191.255304	186.884587	187.846095	193.967098	174.186349
CDHR3	CDHR3	1.060969	1.636147	0.998196	1.348986	1.104719	1.180812	1.668204	1.432281
CDHR4	CDHR4	0.049292	0.022839	0	0.026054	0.023862	0	0.027292	0
CDIN1	CDIN1	9.959452	10.978822	10.774108	10.193505	9.854376	10.442361	10.350345	10.479652
CDIP1	CDIP1	2.971401	2.686002	2.545497	3.243952	2.568293	2.765308	2.491744	3.040234
CDIPT	CDIPT	30.186541	31.994284	32.711277	31.389274	34.356037	34.5785	33.660165	32.465792
CDK1	CDK1	233.142568	244.497553	229.228697	218.137572	233.222778	255.992554	228.358414	268.541056
CDK10	CDK10	10.357222	9.573249	11.404276	9.330521	12.429742	10.796636	10.291393	10.064358
CDK12	CDK12	17.437405	18.554331	17.67245	17.463285	16.926996	18.335656	17.407427	18.778305
CDK13	CDK13	36.946467	38.348845	36.536936	36.451595	35.059188	37.281716	37.254063	36.539242
CDK14	CDK14	3.987736	4.022241	3.841367	3.971716	3.483254	4.342679	3.860334	3.889519
CDK15	CDK15	0.775472	0.930999	1.015539	1.345285	0.868244	1.196292	0.580222	0.852484
CDK16	CDK16	28.553553	30.927259	29.899318	30.864627	28.692277	31.578301	26.995507	29.659422
CDK17	CDK17	25.247695	25.307882	26.149746	24.77118	24.663281	24.519686	24.222243	24.381642
CDK18	CDK18	6.888102	7.835611	7.986318	7.400071	6.573456	8.251206	7.543699	7.63761
CDK19	CDK19	13.554468	12.873414	13.229474	12.366109	13.563829	14.330716	12.877582	14.328721
CDK2	CDK2	23.292082	25.557876	27.24061	26.126158	25.447035	25.90724	26.896773	23.657052
CDK20	CDK20	9.062152	11.063938	10.849218	10.913003	9.221394	10.202027	9.474386	10.724397
CDK2AP1	CDK2AP1	182.83775	187.945187	179.915754	164.557235	185.577065	191.059718	185.558645	177.380351
CDK2AP2	CDK2AP2	56.241866	63.537681	64.241032	60.847252	56.283874	57.182343	54.166675	53.847691
CDK3	CDK3	0.454596	0.455999	0.466644	0.930841	0.886139	0.603973	0.6678	0.660987
CDK4	CDK4	93.844986	96.563517	97.944302	93.584102	84.800411	98.39034	85.620672	87.799434
CDK5	CDK5	13.041229	14.625008	12.976092	14.669254	12.765193	14.38029	13.307722	12.929586
CDK5R1	CDK5R1	1.880145	2.116518	2.850279	1.868869	2.330584	2.355511	2.487316	2.122758
CDK5R2	CDK5R2	0.115097	0.047537	0.107177	0.127238	0.215953	0.117732	0.227064	0.173412
CDK5RAP1	CDK5RAP1	51.456626	50.323321	55.579675	57.362642	50.470037	46.764193	56.082796	50.205613
CDK5RAP2	CDK5RAP2	32.933973	33.846785	32.438724	32.32816	30.771776	34.761346	33.806302	33.205921
CDK5RAP3	CDK5RAP3	53.539344	60.474291	58.609826	58.290708	56.355526	57.563221	53.558565	59.445075
CDK6	CDK6	18.850513	19.276729	18.127505	17.786456	18.928162	19.026349	18.526065	20.038549
CDK7	CDK7	74.456228	75.910171	72.151041	68.450156	72.959477	76.933269	83.546703	70.683946
CDK8	CDK8	51.432444	53.705222	53.240338	50.133433	53.200699	52.920215	56.273754	50.420681
CDK9	CDK9	29.995801	30.101141	29.023712	27.68062	29.659982	27.92266	27.957071	29.385474
CDKAL1	CDKAL1	6.010356	3.729785	4.087513	3.899912	3.762445	4.19293	4.8603	4.152565
CDKL2	CDKL2	26.721624	26.336445	26.648307	25.902481	29.043373	30.054908	27.647934	25.804893
CDKL3	CDKL3	0.230887	0.185463	0.239792	0.156029	0.258897	0.060083	0.18271	0.282304
CDKL4	CDKL4	2.091488	2.187572	1.984429	2.021194	1.989206	1.841527	2.096032	1.905716
CDKL5	CDKL5	5.588304	6.04865	6.044487	6.059767	5.864286	6.32938	5.956893	6.563918
CDKN1A	CDKN1A	1.186707	1.497917	1.870619	1.783472	1.125137	1.386005	1.616777	1.765876
CDKN1B	CDKN1B	28.17016	24.919547	25.163554	24.539733	26.093931	23.316723	25.040557	28.15512
CDKN2A	CDKN2A	37.81335	32.024689	42.613629	43.667841	38.485037	34.380728	40.514116	33.27626
CDKN2AIP	CDKN2AIP	22.961521	23.656557	24.539862	21.836682	22.118594	25.023354	23.460621	24.850964
CDKN2AIPNL	CDKN2AIPNL	0	0	0	0	0	0	0	0
CDKN2B	CDKN2B	8.125414	7.935235	7.300462	7.427719	8.54932	7.594839	7.461764	8.874288
CDKN2C	CDKN2C	21.450726	21.920828	21.693796	23.837004	20.226789	20.893208	18.930897	20.3628
CDKN2D	CDKN2D	1.00169	0.724488	1.354317	1.013996	1.07536	1.243289	1.023009	1.123097
CDKN3	CDKN3	94.804827	95.555004	90.36294	85.103447	91.812134	91.436533	89.958802	96.834385
CDNF	CDNF	2.195568	1.883717	2.194924	1.845056	2.056773	1.898597	1.882508	2.260357
CDON	CDON	6.133578	6.550136	6.080326	7.018381	6.245539	6.718507	6.981054	6.595359
CDPF1	CDPF1	7.0829	7.896388	6.961269	8.085802	7.79134	7.389001	7.287125	7.635904
CDR2	CDR2	2.864495	2.821991	1.896111	2.411682	3.403575	2.987155	2.586423	2.622597
CDR2L	CDR2L	3.434179	3.619523	3.326825	2.751082	3.162681	2.985595	3.376147	2.883981
CDRT4	CDRT4	0.547688	0.312577	0.133433	0.188777	0.464784	0.260945	0.434693	0.464684
CDS1	CDS1	14.238207	16.059719	15.210574	15.192127	18.803394	18.00913	14.875082	17.394141
CDS2	CDS2	69.737707	71.281114	70.908034	71.183611	67.878062	74.017934	71.433998	72.778195
CDSN	CDSN	5.361619	5.631744	5.872201	6.007237	5.371947	5.672121	5.173027	5.289554
CDT1	CDT1	17.048133	20.049676	20.683532	19.993585	16.796348	16.035424	16.642603	17.866639
CDV3	CDV3	300.750829	275.820055	266.031487	270.102498	279.40204	275.873292	273.395506	285.650373
CDX1	CDX1	0.006487	0	0	0.020404	0.009304	0	0	0
CDX2	CDX2	0	0	0	0	0	0	0	0
CDX4	CDX4	0	0	0	0	0	0	0	0
CDYL	CDYL	25.349235	25.886526	23.070232	24.929869	24.468912	23.728051	24.875356	26.272914
