name	taxonomy_id	taxonomy_lvl	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_frac
Bacteroides helcogenes	290053	S	113	0.00003	27	0.00001	20	0.00001	108	0.00003	40	0.00001	142	0.00003	78	0.00002	49	0.00001	47	0.00003	39	0.00001
Bacteroides zoogleoformans	28119	S	110	0.00003	0	0.00000	23	0.00001	27	0.00001	0	0.00000	63	0.00001	28	0.00001	19	0.00000	36	0.00002	16	0.00001
Bacteroides sedimenti	2136147	S	74	0.00002	93	0.00003	68	0.00003	181	0.00005	26	0.00001	47	0.00001	85	0.00002	70	0.00001	51	0.00003	70	0.00003
Bacteroides difficilis	2763021	S	159	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	59	0.00002	0	0.00000	0	0.00000	0	0.00000
Bacteroides mucinivorans	3096000	S	66	0.00002	0	0.00000	20	0.00001	0	0.00000	17	0.00001	75	0.00002	0	0.00000	0	0.00000	69	0.00004	0	0.00000
Bacteroides graminisolvens	477666	S	46	0.00001	36	0.00001	0	0.00000	90	0.00002	0	0.00000	22	0.00000	29	0.00001	32	0.00001	0	0.00000	38	0.00001
uncultured Bacteroides sp.	162156	S	11	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00000	27	0.00002	0	0.00000
Bacteroides maternus	3117552	S	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Phocaeicola coprophilus	387090	S	2678	0.00070	177	0.00005	4380	0.00180	409	0.00011	181	0.00006	1116	0.00023	305	0.00009	260	0.00005	244	0.00014	178	0.00006
Phocaeicola vulgatus	821	S	1151	0.00030	56	0.00002	16142	0.00665	133	0.00004	26	0.00001	9425	0.00196	231	0.00007	165	0.00003	36	0.00002	85	0.00003
Phocaeicola dorei	357276	S	1476	0.00039	478	0.00014	2694	0.00111	1358	0.00037	315	0.00010	2927	0.00061	1149	0.00033	1725	0.00036	441	0.00025	743	0.00027
