gene_id,gene_name,16h_1,16h_2,16h_3,8h_1,8h_2,8h_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000095970,TREM2,390,410,370,1207,1144,1026,734.5712717140703,-1.335605757626135,0.07839011391202635,1.7732280030995704e-67,1.920464065979887e-65,Down
ENSG00000183010,PYCR1,2110,1994,1958,1343,1236,1087,1643.0525556326197,0.8906911980059508,0.05242215856524498,4.0142539683906095e-67,4.312222575963018e-65,Up
ENSG00000060138,YBX3,7742,7783,7494,6337,5976,5417,6840.291481190705,0.5488007143719646,0.03204498840803541,9.802138098629826e-67,1.0444810540096444e-64,Up
ENSG00000168961,LGALS9,4085,4222,3887,3080,2884,2575,3488.631649451401,0.6834319734979581,0.040041858507168404,1.1650322858851877e-66,1.2314857274720788e-64,Up
ENSG00000148840,PPRC1,2384,2360,2272,1546,1510,1301,1920.6633168265275,0.852413113231364,0.050341038271139546,1.7635365140472672e-66,1.849333965087821e-64,Up
ENSG00000196230,TUBB,40775,39921,39341,64368,59641,55178,49230.210094087,-0.39870639420416976,0.023321803253480225,3.210418366720403e-66,3.3400990456280857e-64,Down
ENSG00000169679,BUB1,1765,1649,1588,3596,3161,2896,2389.574572738761,-0.7610610954559501,0.04488522265684818,3.685613609175521e-66,3.804532235784075e-64,Down
ENSG00000140525,FANCI,3464,3101,2925,6081,5622,5089,4297.441574333837,-0.6410998463211331,0.03775008075096946,6.880058417973205e-66,7.04699316873488e-64,Down
ENSG00000169714,CNBP,9744,9550,9115,8486,7706,7115,8660.089373143837,0.4592876378429202,0.02702923909850568,1.4031688949447715e-65,1.4261592776080974e-63,Up
ENSG00000106263,EIF3B,10149,10011,9713,8781,8022,7407,9062.37273836459,0.4769009381044393,0.0281122144467119,2.0988291506845426e-65,2.1169335548087679e-63,Up
ENSG00000138778,CENPE,571,527,526,1515,1346,1260,930.5448394592686,-1.150611460456574,0.06904253379968583,2.5988558335343726e-65,2.6014153127643684e-63,Down
ENSG00000085117,CD82,337,339,375,1188,1134,962,698.859975811828,-1.4435305757683603,0.08671426554862448,2.3272291526749844e-64,2.31200592438305e-62,Down
ENSG00000083857,FAT1,798,804,696,1906,1730,1661,1233.9687738537687,-1.0150022698947305,0.0615702627942692,5.650383106950445e-64,5.5715307456818075e-62,Down
ENSG00000184787,UBE2G2,4291,4317,3866,3128,2954,2784,3589.747393958903,0.659542962415307,0.039472560067695055,6.169918818544604e-64,6.038750914772582e-62,Up
ENSG00000130309,COLGALT1,7301,7064,6811,5848,5644,4972,6314.354368838259,0.5348073171007592,0.03196134683888854,8.249445153900499e-64,8.014699913124066e-62,Up
ENSG00000005844,ITGAL,7853,7728,7355,6666,6096,5685,6935.358379777515,0.48686787075620896,0.029082916474321634,8.818896425599358e-64,8.505407187696665e-62,Up
ENSG00000100060,MFNG,3375,3305,3229,2491,2323,2078,2827.8355107510106,0.6928121185581193,0.0415864511014851,1.0761602592340505e-63,1.0303844569028629e-61,Up
ENSG00000145912,NHP2,4555,4246,4284,3495,3078,2806,3775.4912595775795,0.6514979222235597,0.039117924122813126,1.6206605601263558e-63,1.5405602863992475e-61,Up
ENSG00000026297,RNASET2,5411,5420,5119,4404,4048,3693,4715.6454620996565,0.5649096306374012,0.03390261185419892,2.3424474877979282e-63,2.210768475448145e-61,Up
ENSG00000090104,RGS1,90,96,84,556,477,443,277.95197276696683,-2.2340803752576295,0.1367999118550822,4.3075884761044755e-63,4.036607555657336e-61,Down
ENSG00000179041,RRS1,2762,2708,2593,1999,1803,1628,2272.154129728026,0.7383015341966428,0.04481352700162989,1.4958210885065143e-62,1.3918509889039842e-60,Up
ENSG00000214706,IFRD2,2851,2890,2742,2025,1929,1698,2382.301641101487,0.7528888971572358,0.045746606586945515,1.699401120524645e-62,1.5702228675169324e-60,Up
ENSG00000105281,SLC1A5,3689,3789,3622,2737,2615,2301,3158.1557164837122,0.7051327615474404,0.04278189536351549,1.8436315020938595e-62,1.6916599331365392e-60,Up
ENSG00000179958,DCTPP1,2510,2609,2496,1796,1555,1411,2089.0458721699447,0.844585141422803,0.05156667797751099,2.059684242296717e-62,1.876869509894243e-60,Up
ENSG00000136156,ITM2B,4851,4435,4267,8018,7288,6802,5847.353725566293,-0.5256590479528825,0.03192032250382475,7.091840460367732e-62,6.418115616632798e-60,Down
ENSG00000261371,PECAM1,3536,3337,3242,6371,5655,5134,4464.468358876444,-0.5788285589981346,0.035189159471233536,7.62165075890227e-62,6.850671529073177e-60,Down
ENSG00000124571,XPO5,3898,3801,3531,2988,2665,2521,3260.104956248083,0.6275301945254015,0.03819148461300482,7.790311265551932e-62,6.954958294036331e-60,Up
ENSG00000155629,PIK3AP1,8575,7984,7810,7183,6558,5906,7371.444782900568,0.48393498075782976,0.02952472685343039,2.995556682012847e-61,2.656395331505755e-59,Up
ENSG00000136810,TXN,4742,4613,4391,3808,3356,3190,4045.514423295717,0.5797869996641988,0.035449863563496456,3.5595122667792444e-61,3.135455705396944e-59,Up
ENSG00000112972,HMGCS1,3547,3278,3098,2578,2219,2069,2822.4986890072955,0.6994690619845273,0.042949640332181224,4.887211588472743e-61,4.276471968111944e-59,Up
