gene_id	gene_name	A5BKO_1	A5BKO_2	A5BKO_3	Mix_1	Mix_2	Mix_3	NT_1	NT_2	NT_3
ENSG00000218416.4	GPC1-AS1	6	3	1	2	0	0	2	0	0
ENSG00000218418.2	ENSG00000218418	2.103	3.209	5.275	1.051	1.033	1.038	1.049	2.118	1.041
ENSG00000218424.2	NDUFS5P1	0	0	0	0	0	0	0	0	0
ENSG00000218426.5	ENSG00000218426	54.456	89.945	43.702	89.086	79.019	71.276	58.526	66.054	53.344
ENSG00000218428.1	NIP7P3	0	0	0	0	0	0	0	0	0
ENSG00000218454.2	HNRNPA1P19	0	0	0	0	0	0	0	0	0
ENSG00000218459.1	RPS27P15	0	2.001	1	1	0	1	2	3	0
ENSG00000218472.2	ENSG00000218472	0	2	0	0	0	1.001	0	0	0
ENSG00000218475.2	ACTG1P18	0	0	0	0	0	1	0	0	0
ENSG00000218476.2	RPL6P18	0	0	0	0	0	0	0	0	0
ENSG00000218483.1	ENSG00000218483	0	0	0	0	0	0	0	0	0
ENSG00000218490.1	FCF1P10	0	0	0	0	0	0	0	0	0
ENSG00000218499.1	ENSG00000218499	0	0	0	0	0	0	0	0	0
ENSG00000218502.3	H2AZP3	3.007	2.003	4.015	2.006	0	2.009	4.01	5.015	1.851
ENSG00000218510.9	LINC00339	239.148	381.395	212.253	462.537	323.139	370.359	203.4	276.76	266.506
ENSG00000218512.2	SPTLC1P2	0	0	0	0	0	0	0	0	0
ENSG00000218520.5	ENSG00000218520	0	0	0	0	0	0	0	0	0
ENSG00000218521.1	ENSG00000218521	0	0	0	0	0	0	0	0	0
ENSG00000218536.1	ENSG00000218536	0	0	0	0	0	0	0	0	0
ENSG00000218537.1	MIF-AS1	254.773	479.483	284.451	203.535	284.217	144.164	301.306	280.249	238.764
ENSG00000218549.2	OR4K12P	0	0	0	0	0	0	0	0	0
ENSG00000218561.1	ENSG00000218561	0	0	0	0	0	0	0	0	0
ENSG00000218565.2	ENSG00000218565	0	0	0	0	0	0	0	0	0
ENSG00000218574.1	HNRNPA1P37	0	0	0	0	0	0	0	0	0
ENSG00000218577.1	ANKRD18FP	0	0	0	0	0	0	0	0	0
ENSG00000218582.2	GAPDHP63	0	5.018	0	4.003	5.174	3.002	0	1	2.001
ENSG00000218586.3	ENSG00000218586	0	0	0	0	0	0	0	0	0
ENSG00000218596.2	ENSG00000218596	0	0	0	0	0	0	0	0	0
ENSG00000218617.1	ENSG00000218617	0	0	0	0	0	0	0	0	0
ENSG00000218631.1	ENSG00000218631	0	0	0	0	0	0	0	0	0
ENSG00000218632.3	RPL7P28	0	0	0	0	0	0	0	0	0
ENSG00000218643.2	RPL5P20	0	0	0	0	0	0	0	0	0
ENSG00000218672.1	LINC03010	0	0	0	0	0	0	0	0	0
ENSG00000218676.1	BRD7P4	0	0	0	0	0	0	2.004	0	0
ENSG00000218682.1	ENSG00000218682	3	0	0	0	0	0	0	0	1
ENSG00000218689.2	RPL5P21	0	0	0	0	0	0	0	0	0
ENSG00000218690.3	H2AC10P	0	2.588	0	0	0	3	0	0	0
ENSG00000218698.1	ST13P16	0	0	0	0	0	0	0	0	0
ENSG00000218713.1	ENSG00000218713	2	0	2	0	2	0	0	0	0
ENSG00000218716.1	RPL12P23	0	0	0	0	0	0	0	0	0
ENSG00000218725.2	B3GALNT2P1	0	0	0	0	0	0	0	0	0
ENSG00000218728.3	KRT18P44	0	0	0	0	0	0	0	0	0
ENSG00000218730.1	ENSG00000218730	0	0	0	0	0	0	0	0	0
ENSG00000218732.1	ENSG00000218732	0	0	0	0	0	0	0	0	0
ENSG00000218739.10	CEBPZOS	814	543	793.001	616.001	477	542	389	419	349.001
ENSG00000218748.1	DBIP1	0	0	0	0	0	0	0	0	0
ENSG00000218749.1	RPL36P9	0	0	0	0	0	0	0	0	0
ENSG00000218754.4	RPL18AP8	0	1	0	0	0	0	0	0	0
ENSG00000218757.1	ENSG00000218757	0	0	0	0	0	0	0	0	0
