gene_id,gene_name,J_902,J_912,J_896,A,B,C,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000069094.13,Pde7a,1244.002,1935,1745,1549,1579.001,1540,1690.4578600532996,0.4372322123039181,0.17425868642587802,8.764969431789687e-4,0.01771991204259425,Up
ENSMUSG00000030208.16,Emp1,19963.001,15621.001,13817,33154.001,35538,36097.001,25151.152674614186,-0.43353868545535873,0.17203976104518087,8.797587765002602e-4,0.017759309630098537,Down
ENSMUSG00000002416.14,Ndufb2,1404.995,2341.992,2256.956,1617.999,1727.999,1354.997,1982.1633482854836,0.5532904558615364,0.25889349660473376,8.889414772601671e-4,0.017917933651182952,Up
ENSMUSG00000084786.10,Ubl5,2364.001,2123.002,2263.001,2234.001,2372.001,2385.999,2568.651544851216,0.36341720116300574,0.13182207591315706,8.905332606237121e-4,0.017923307068356705,Up
ENSMUSG00000031494.8,Cd209a,103,213,170,121,86,122,214.38085966106811,0.601505155999155,0.31117972355270196,8.943038402729482e-4,0.01797245087621341,Up
ENSMUSG00000032228.17,Tcf12,2603.999,1950,1764.001,4533.999,3625.001,4164,2938.9100713842336,-0.3629668274685385,0.13170070691005428,8.969211448940037e-4,0.017975393131189586,Down
ENSMUSG00000036565.8,Ttyh3,737,813,758,1683,1582.999,1290.001,1249.8174314310863,-0.36597634544505697,0.13333979541587587,8.993093224553074e-4,0.017975393131189586,Down
ENSMUSG00000050721.10,Plekho2,2722,1834.999,1578,6514.999,4554,3807,3332.1929700713963,-0.5113858921000438,0.22571565814057984,8.997664436092681e-4,0.017975393131189586,Down
ENSMUSG00000079445.4,B3gnt7,35,40,21,120,128,70,66.53860383725191,-0.6165579980567788,0.33986274238063885,8.982447810027312e-4,0.017975393131189586,Down
ENSMUSG00000027602.10,Map1lc3a,3131,5811,5852,3522,3385,3500,4522.807877192858,0.5909916094049602,0.2990959672634111,9.118390570682851e-4,0.018114343095521117,Up
ENSMUSG00000031196.14,F8,32,25,37,161,66,99,54.86677103020121,-0.6173447329864058,0.34620656722702464,9.120789388576622e-4,0.018114343095521117,Down
ENSMUSG00000040521.12,Tsfm,537.001,534.001,502,503.999,555,406,582.4149801240615,0.44670110952406483,0.18130503248121752,9.112300643921627e-4,0.018114343095521117,Up
ENSMUSG00000056698.12,Elmod3,315.999,310,222.999,290,248,250,276.23542589927786,0.44665885887703954,0.18122432810828804,9.094322556857565e-4,0.018114343095521117,Up
ENSMUSG00000024621.17,Csf1r,8224,5922,4966,16028,11493,15051,10114.57712018321,-0.46356127563796096,0.19263899662811884,9.187471829196677e-4,0.018194584139708814,Down
ENSMUSG00000029319.9,Coq2,949.001,1251.995,1110.998,1075,1187,1022.996,1186.4698002377877,0.4002987090506674,0.15292211512611298,9.188096833583083e-4,0.018194584139708814,Up
ENSMUSG00000023307.15,Marchf5,2811.001,2225.001,2104,2607,2474.001,2343.001,2484.879372355692,0.35919394089161466,0.130241468478397,9.266479673408969e-4,0.018322973330826945,Up
ENSMUSG00000102428.2,Pcdhga12,15,7,11.46,70.964,40.281,40.674,27.10384782889436,-0.5986916733738656,0.4086434100955204,9.288104157658063e-4,0.01833892098282121,Down
ENSMUSG00000055723.7,Rras2,1073,970,1123,1295,1099,949,1083.9691656265136,0.3561761343906292,0.1287391791143027,9.311289319261855e-4,0.01835789913163507,Up
ENSMUSG00000079560.14,Hoxa3,92,87,125,60,84,71,91.48102445343498,0.5855771494710146,0.29478360473177095,9.356700374785171e-4,0.018420578248758288,Up
